system:index,Aspect_deg,Elevation_m,MTBS_Severity,Month6_NBR,Month6_NDVI,NLCD2016,Postfire_NBR,Postfire_NDVI,Prefire_NBR,Prefire_NDVI,Slope_deg,Year10_NBR,Year10_NDVI,Year1_NBR,Year1_NDVI,Year5_NBR,Year5_NDVI,Year9_NBR,Year9_NDVI,dNBR,lat,lon,.geo
7710_0,76.77595,1391.6613,3,-0.106774226,0.12683491,71,-0.12917167,0.1344938,0.08988926,0.21457838,37.562378,0.09615317,0.21473897,-0.08318126,0.12465848,0.0133632105,0.18510598,0.05180895,0.19976561,0.21906093,34.3197803954675,-117.53453264705576,"{""type"":""MultiPoint"",""coordinates"":[]}"
7711_0,190.48206,1048.9775,1,0.041792605,0.20027734,52,-0.019389914,0.1430119,0.0137046045,0.15158735,19.264753,0.04561357,0.1770006,0.036266137,0.16977945,0.007705704,0.16916776,0.017639853,0.16135114,0.033094518,34.32959488941254,-117.49238428599256,"{""type"":""MultiPoint"",""coordinates"":[]}"
7712_0,245.91707,2001.7736,3,-0.049758885,0.14062612,71,-0.090290956,0.14362158,0.10705481,0.24614182,27.382452,0.11939313,0.25333917,-0.025464296,0.15585825,0.016637925,0.1881284,0.06818284,0.22538644,0.19734576,34.3456983514996,-117.5895237712193,"{""type"":""MultiPoint"",""coordinates"":[]}"
7713_0,298.0599,1241.7971,3,-0.30023947,0.23842312,71,-0.3883156,0.113658264,0.016021289,0.32228398,14.268526,0.21609993,0.42791846,-0.11605854,0.22700441,0.028111612,0.2785177,0.009335659,0.33544746,0.40433687,34.34763644499737,-117.46462185974922,"{""type"":""MultiPoint"",""coordinates"":[]}"
7714_0,24.378624,1351.0975,2,-0.34525225,0.16743019,71,-0.40029132,0.14660326,-0.052761815,0.30601692,3.704132,0.14944598,0.38943776,-0.1551873,0.24532104,-0.006972123,0.2681577,-0.077616856,0.2955604,0.34752953,34.37412480045688,-117.50706069878312,"{""type"":""MultiPoint"",""coordinates"":[]}"
7715_0,336.6981,1270.5032,2,-0.101433285,0.21375601,21,-0.29382414,0.12324308,0.095041975,0.28948066,2.8148563,0.27200633,0.478769,0.12601069,0.32418412,0.076158226,0.3124803,0.12151913,0.4005327,0.3888661,34.35742577315993,-117.45279087210103,"{""type"":""MultiPoint"",""coordinates"":[]}"
7716_0,56.102398,1865.1396,2,0.12685323,0.33681422,42,0.097092725,0.3067223,0.28336644,0.38776433,29.345652,0.34640065,0.43725985,0.18659234,0.34806803,0.22424491,0.35604423,0.2979141,0.3987537,0.18627372,34.31710475455117,-117.59178393793556,"{""type"":""MultiPoint"",""coordinates"":[]}"
7717_0,93.05036,1103.0631,3,-0.28589898,0.14294839,71,-0.35940874,0.118983135,0.020567805,0.29644668,5.2384744,0.14526425,0.3265118,-0.11730805,0.15307996,0.04559303,0.25253686,0.031176887,0.2453602,0.37997654,34.324828890753075,-117.5204341604624,"{""type"":""MultiPoint"",""coordinates"":[]}"
7718_0,302.24194,843.83826,2,-0.071695745,0.24711886,71,-0.28778762,0.11326602,0.1512484,0.37345836,1.5664396,0.21125102,0.39992148,0.047068346,0.216897,0.13060154,0.33050904,0.16187616,0.38276997,0.439036,34.27149542223542,-117.46390367123628,"{""type"":""MultiPoint"",""coordinates"":[]}"
7719_0,334.44427,1210.6152,2,-0.16831525,0.15622972,71,-0.2525109,0.15205565,0.050732758,0.26893046,11.308034,0.11664777,0.34097135,-0.067145646,0.18123728,0.022245612,0.24903142,-0.0026823303,0.26668215,0.30324364,34.323888758219205,-117.43013011183236,"{""type"":""MultiPoint"",""coordinates"":[]}"
7720_0,121.65179,1433.288,2,-0.13482144,0.10776958,71,-0.16187552,0.09429014,0.11247607,0.24414602,4.465177,0.23187171,0.33463776,0.00861878,0.17710653,0.14590792,0.25802097,0.113520876,0.25623295,0.2743516,34.321244214282736,-117.55745710825978,"{""type"":""MultiPoint"",""coordinates"":[]}"
7721_0,255.2951,1053.1456,1,-0.04768168,0.287161,71,-0.2973008,0.15541933,-0.031012004,0.25373232,24.88932,0.14426184,0.29367346,0.010671921,0.23904027,0.038876437,0.23500259,-0.037257396,0.26871595,0.2662888,34.316580116060855,-117.45098831795293,"{""type"":""MultiPoint"",""coordinates"":[]}"
7722_0,67.22493,1118.137,2,-0.13026191,0.10823115,71,-0.1927918,0.106061,0.31901535,0.47589758,20.361612,0.45437172,0.5987846,0.13002233,0.27930984,0.26963934,0.41431797,0.29408276,0.47988287,0.51180714,34.29547473426107,-117.51125301887515,"{""type"":""MultiPoint"",""coordinates"":[]}"
7723_0,336.60617,1060.5964,2,0.10268599,0.48878807,71,0.07439706,0.31524792,0.10707528,0.32996786,26.61588,0.17407192,0.38767636,0.09184208,0.31360647,0.067348965,0.3210871,0.064994074,0.349372,0.03267822,34.31267137494361,-117.44634006785466,"{""type"":""MultiPoint"",""coordinates"":[]}"
7724_0,102.17589,846.8811,4,-0.32026917,0.20223475,71,-0.3418288,0.17015854,0.5286336,0.7323124,30.665894,0.4791461,0.65056276,0.04061375,0.38718668,0.34047058,0.5500555,0.54146236,0.6912283,0.87046236,34.24429453063465,-117.45623897424355,"{""type"":""MultiPoint"",""coordinates"":[]}"
7725_0,43.798542,1556.7609,2,-0.116756596,0.13915555,71,-0.23928995,0.119489826,0.19708937,0.36962447,31.308958,0.4414487,0.5515079,0.04463879,0.28464943,0.16561067,0.34376335,0.27202225,0.4146108,0.43637934,34.31637928610796,-117.56236592064043,"{""type"":""MultiPoint"",""coordinates"":[]}"
7726_0,38.258152,1348.1453,3,-0.22489765,0.2311634,71,-0.31250104,0.15911022,-0.05198864,0.26070645,5.5146804,0.060346372,0.3174982,-0.10515073,0.25129303,-0.06435655,0.23176637,-0.10217093,0.2506423,0.2605124,34.37407330112481,-117.50630015814735,"{""type"":""MultiPoint"",""coordinates"":[]}"
