system:index,Aspect_deg,Burned_Since_1996,Elevation_m,MTBS_Severity,Month6_NBR,Month6_NDVI,NLCD2016,Postfire_NBR,Postfire_NDVI,Prefire_NBR,Prefire_NDVI,Slope_deg,Year10_NBR,Year10_NDVI,Year1_NBR,Year1_NDVI,Year5_NBR,Year5_NDVI,Year9_NBR,Year9_NDVI,dNBR,group,lat,lon,.geo
1_8867_0,180.09729,1,1147.9316,2,0.1158738,0.23222846,71,0.07958468,0.2156563,0.14042065,0.26336184,2.0584593,0.251143,0.37931383,0.18845762,0.32396093,0.13467067,0.28355324,0.1806642,0.3341088,0.060835965,burned,34.34882374503779,-117.51994595919852,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8868_0,63.697945,1,991.3227,4,-0.41742164,0.1900651,71,-0.39880267,0.14953676,0.30132118,0.56730855,27.883324,0.43001646,0.6354164,-0.08490086,0.33099335,0.15147261,0.43191913,0.33321044,0.5699388,0.70012385,burned,34.27798157810997,-117.48055070346182,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8869_0,274.91876,0,1118.5679,1,-0.022131044,0.3236196,71,-0.025937168,0.2339434,-0.005930234,0.2363257,34.087246,0.113199465,0.31590936,0.112270355,0.29365832,0.010717899,0.23183821,-0.031270694,0.24119163,0.020006934,burned,34.333451884410046,-117.48993745471978,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8870_0,204.75418,1,1822.9075,2,-0.06616583,0.0999084,23,-0.15985148,0.09571556,0.19374712,0.31062284,26.15715,0.36203268,0.43119022,0.08767124,0.22007456,0.20617774,0.28023285,0.26625457,0.3339381,0.3535986,burned,34.30517045570463,-117.56624091019705,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8871_0,86.33561,1,991.29846,2,-0.030417524,0.29822522,71,-0.33457974,0.15648602,0.0571213,0.2850237,7.739576,0.10110328,0.31652418,-0.008793165,0.19569029,0.015096738,0.25808948,0.007372654,0.27035743,0.391701,burned,34.32185724034043,-117.47710934030245,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8872_0,186.69078,1,1014.44574,2,-0.06076984,0.16369897,71,-0.264207,0.15309063,0.10186728,0.33281636,25.941452,0.11361575,0.36939305,0.04370696,0.21395992,0.24230105,0.37635908,0.054664727,0.36739385,0.3660743,burned,34.29540793213674,-117.48704380137325,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8873_0,46.276882,1,1029.5537,3,-0.19563845,0.18112981,71,-0.27704206,0.11733757,0.33189195,0.54533476,17.381542,0.4016948,0.6134367,0.103174545,0.3031788,0.27199605,0.4494997,0.32129046,0.5624719,0.608934,burned,34.287713479461246,-117.49679604546593,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8874_0,24.679749,1,1490.6102,4,-0.3560486,0.1623924,71,-0.36303014,0.12269603,0.31488797,0.49970764,28.031729,0.474488,0.6200662,-0.0634884,0.31754786,0.12756005,0.37436917,0.25627473,0.4616341,0.6779181,burned,34.29560953700023,-117.52943920769486,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8875_0,37.724224,1,1742.2262,2,-0.21455903,0.12086302,71,-0.2374005,0.09268352,0.24747466,0.43660334,23.916851,0.4010749,0.5330789,0.050105345,0.27924642,0.20917276,0.3775351,0.2876824,0.41705918,0.48487514,burned,34.309768205243145,-117.56054512611719,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8876_0,15.36998,1,946.35425,3,-0.21355341,0.18893072,71,-0.25311655,0.11257116,0.518115,0.7110663,27.723145,0.57405716,0.71237695,0.28522035,0.44274515,0.38740766,0.53708977,0.54801136,0.7033807,0.77123153,burned,34.26331915462813,-117.47760341155615,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8877_0,15.879747,0,1244.203,1,-0.18184607,0.18286052,71,-0.21101092,0.19523676,-0.120661,0.20309146,1.0734005,0.018923597,0.25790155,-0.074810244,0.23005874,-0.02879831,0.21475145,-0.12572323,0.19959565,0.09034992,burned,34.4072197564907,-117.50429494863845,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8878_0,252.93352,1,1096.4513,2,-0.02919088,0.24354015,71,-0.26617038,0.16050461,-0.025937987,0.23101035,16.211786,0.06366761,0.26958418,-0.03668584,0.1773372,0.10062084,0.27997184,-0.040354185,0.23762266,0.24023241,burned,34.31407801922355,-117.47314256145424,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8879_0,120.63968,1,1259.8232,2,-0.014815947,0.32314843,71,-0.14153753,0.19435437,-0.0059509687,0.24922024,2.1773038,0.007370821,0.26811904,-0.016719244,0.27724475,-0.06305645,0.22715014,-0.057219293,0.24053082,0.13558656,burned,34.33549120364384,-117.42467123279644,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8880_0,137.28635,1,1085.5608,2,0.095218204,0.30043852,71,-0.16260979,0.14994851,0.101978555,0.28479606,15.487545,0.20639294,0.35427368,0.09351957,0.24264646,0.10857225,0.26720178,0.048353747,0.26578405,0.26458836,burned,34.30837715987813,-117.50529072247078,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8881_0,10.174356,1,1354.6708,2,-0.16329587,0.20968911,21,-0.2457995,0.15631215,-0.09634237,0.21716441,3.8412294,-0.01064331,0.25230038,-0.119892515,0.2168276,-0.05143363,0.21772699,-0.12094495,0.2134698,0.14945713,burned,34.38979655461182,-117.53537288177397,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8882_0,301.28406,1,1475.272,3,-0.23465836,0.106545314,71,-0.23563287,0.09238499,0.013682391,0.2037624,13.867131,0.06881085,0.259883,-0.15021014,0.13366914,-0.016742507,0.17804806,0.012414139,0.22999215,0.24931525,burned,34.35982537413483,-117.57488468990927,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8883_0,184.97122,1,923.4251,2,-0.027706841,0.08130431,23,-0.15418479,0.092069685,0.042043637,0.18140244,3.447933,0.11029069,0.21135837,-0.020656228,0.070874095,-9.5980056E-4,0.09816853,0.16571069,0.29640332,0.19622841,burned,34.306987116575975,-117.46958153987795,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8884_0,221.15237,1,1163.9276,1,-0.01944941,0.21156952,71,-0.18026918,0.15423334,0.021264985,0.2423763,12.854644,0.08903469,0.29270494,-0.01834329,0.18233125,0.08341676,0.2700776,-0.01419766,0.24337864,0.20153417,burned,34.3372969808174,-117.4601747999207,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8885_0,271.44928,1,1057.8718,2,-0.03439764,0.2100317,71,-0.12632078,0.16222209,0.036378033,0.21879223,8.826462,0.10608906,0.28090712,-0.010931897,0.20655318,0.041548833,0.24445301,0.006576419,0.23482725,0.1626988,burned,34.324638927051666,-117.44426558019278,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8886_0,332.31763,1,1388.017,3,-0.31417325,0.16414738,71,-0.42314607,0.15434569,-0.033593886,0.2820713,13.567576,0.1823793,0.38604525,-0.18320316,0.20586376,-0.0010642158,0.26041612,-0.038999785,0.27997175,0.38955218,burned,34.37344736964207,-117.5125538712265,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8887_0,203.22269,1,854.31256,3,-0.25213227,0.27015194,71,-0.43233845,0.14768195,0.19991678,0.44493824,5.5371804,0.35123545,0.5495068,-0.0070415568,0.2948359,0.117218174,0.37195775,0.21420859,0.46605578,0.63225526,burned,34.27332790624997,-117.46014203893236,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8888_0,142.64075,1,1117.5178,2,-0.12837787,0.26119187,71,-0.26644996,0.12867786,-0.06427902,0.19899955,1.5713056,0.108811714,0.26747546,-0.1564278,0.13548547,-0.009866836,0.19752076,-0.05180819,0.2153324,0.20217094,burned,34.33988043777555,-117.52229449761867,"{""type"":""MultiPoint"",""coordinates"":[]}"
